participant,group,item,type,clause,gap,condition,judgment,rt,proficiency
L1_02,L1_English,5,critical_wanna,2,2,d,1,8.643826962,41
L1_02,L1_English,5,filler_ellipsis,2,2,Gapping-A,0,2.476622105,41
L1_02,L1_English,5,filler_null,na,na,no_null,1,1.93927598,41
L1_02,L1_English,5,filler_ungrammatical,na,na,na,1,2.878401995,41
L1_02,L1_English,6,critical_wanna,1,1,a,1,8.356370926,41
L1_02,L1_English,6,filler_ellipsis,1,1,VPE-C,1,1.20720911,41
L1_02,L1_English,6,filler_null,na,na,null_subject,1,1.558717012,41
L1_02,L1_English,6,filler_ungrammatical,na,na,na,1,1.590866089,41
L1_02,L1_English,7,critical_wanna,1,2,b,0,1.307369947,41
L1_02,L1_English,7,filler_ellipsis,2,1,Gapping-C,1,4.933989048,41
L1_02,L1_English,7,filler_null,na,na,null_object,0,1.173345089,41
L1_02,L1_English,8,critical_wanna,2,1,c,0,2.761474848,41
L1_02,L1_English,8,filler_ellipsis,1,2,VPE-A,1,1.237185001,41
L1_02,L1_English,8,filler_null,na,na,no_null,1,10.91349602,41
L1_02,L1_English,9,critical_wanna,2,2,d,1,1.324087143,41
L1_02,L1_English,9,filler_ellipsis,2,2,Gapping-A,0,1.1871171,41
L1_02,L1_English,9,filler_null,na,na,null_subject,0,2.444083929,41
L1_02,L1_English,10,critical_wanna,1,1,a,1,9.596583128,41
L1_02,L1_English,10,filler_ellipsis,1,1,VPE-C,1,1.307543993,41
L1_02,L1_English,10,filler_null,na,na,null_object,0,0.953278065,41
L1_02,L1_English,11,critical_wanna,1,2,b,0,2.627327919,41
L1_02,L1_English,11,filler_ellipsis,2,1,Gapping-C,0,1.306807041,41
L1_02,L1_English,11,filler_null,na,na,no_null,1,1.340976954,41
L1_02,L1_English,12,critical_wanna,2,1,c,0,2.056018829,41
L1_02,L1_English,12,filler_ellipsis,1,2,VPE-A,1,1.290390015,41
L1_02,L1_English,12,filler_null,na,na,null_subject,0,6.588373899,41
L1_02,L1_English,13,critical_wanna,2,2,d,1,1.223801136,41
L1_02,L1_English,13,filler_ellipsis,2,2,Gapping-A,0,1.340973854,41
L1_02,L1_English,13,filler_null,na,na,null_object,0,1.657243013,41
L1_02,L1_English,14,critical_wanna,1,1,a,1,1.274231911,41
L1_02,L1_English,14,filler_ellipsis,1,1,VPE-C,1,1.056350946,41
L1_02,L1_English,14,filler_null,na,na,no_null,1,2.122808933,41
L1_02,L1_English,15,critical_wanna,1,2,b,0,6.568257093,41
L1_02,L1_English,15,filler_ellipsis,2,1,Gapping-C,0,1.525092125,41
L1_02,L1_English,15,filler_null,na,na,null_subject,0,1.592011929,41
L1_02,L1_English,16,critical_wanna,2,1,c,0,1.892351151,41
L1_02,L1_English,16,filler_ellipsis,1,2,VPE-A,1,1.123667002,41
L1_02,L1_English,16,filler_null,na,na,null_object,0,0.739284992,41
L1_02,L1_English,17,critical_wanna,2,2,d,1,1.14036417,41
L1_02,L1_English,17,filler_ellipsis,2,2,Gapping-A,0,0.906257868,41
L1_02,L1_English,17,filler_null,na,na,no_null,1,0.773230076,41
L1_02,L1_English,18,critical_wanna,1,1,a,1,1.158316135,41
L1_02,L1_English,18,filler_ellipsis,1,1,VPE-C,1,1.05683589,41
L1_02,L1_English,18,filler_null,na,na,null_subject,0,1.491900921,41
L1_02,L1_English,19,critical_wanna,1,2,b,0,1.357496023,41
L1_02,L1_English,19,filler_ellipsis,2,1,Gapping-C,1,1.04025197,41
L1_02,L1_English,20,critical_wanna,2,1,c,0,1.591829062,41
L1_02,L1_English,20,filler_ellipsis,1,2,VPE-A,1,1.12379694,41
L1_02,L1_English,21,filler_ellipsis,2,2,Gapping-A,0,7.189511061,41
L1_02,L1_English,22,filler_ellipsis,1,1,VPE-C,1,1.140143871,41
L1_02,L1_English,23,filler_ellipsis,2,1,Gapping-C,0,1.624511003,41
L1_02,L1_English,24,filler_ellipsis,1,2,VPE-A,1,1.124577045,41
L1_03,L1_English,1,critical_wanna,1,2,b,0,1.023495913,42
L1_03,L1_English,1,filler_ellipsis,2,1,Gapping-C,1,9.111865044,42
L1_03,L1_English,1,filler_null,na,na,null_subject,0,9.095194101,42
L1_03,L1_English,1,filler_ungrammatical,na,na,na,0,9.546003103,42
L1_03,L1_English,2,critical_wanna,2,1,c,0,0.435632229,42
L1_03,L1_English,2,filler_ellipsis,1,2,VPE-A,1,0.823093176,42
L1_03,L1_English,2,filler_null,na,na,null_object,0,3.012344837,42
L1_03,L1_English,2,filler_ungrammatical,na,na,na,0,5.602709055,42
L1_03,L1_English,3,critical_wanna,2,2,d,1,1.25714016,42
L1_03,L1_English,3,filler_ellipsis,2,2,Gapping-A,0,13.804389,42
L1_03,L1_English,3,filler_null,na,na,no_null,1,1.02304101,42
L1_03,L1_English,3,filler_ungrammatical,na,na,na,0,13.92146087,42
L1_03,L1_English,4,critical_wanna,1,1,a,1,12.638134,42
L1_03,L1_English,4,filler_ellipsis,1,1,VPE-C,1,0.856338978,42
L1_03,L1_English,4,filler_null,na,na,null_subject,0,1.908787012,42
L1_03,L1_English,4,filler_ungrammatical,na,na,na,0,0.351752043,42
L1_03,L1_English,5,critical_wanna,1,2,b,0,0.689362049,42
L1_03,L1_English,5,filler_ellipsis,2,1,Gapping-C,1,18.95507884,42
L1_03,L1_English,5,filler_null,na,na,null_object,0,24.37032413,42
L1_03,L1_English,5,filler_ungrammatical,na,na,na,0,1.006958008,42
L1_03,L1_English,6,critical_wanna,2,1,c,0,1.320847988,42
L1_03,L1_English,6,filler_ellipsis,1,2,VPE-A,1,0.852836847,42
L1_03,L1_English,6,filler_null,na,na,no_null,1,1.374302864,42
L1_03,L1_English,6,filler_ungrammatical,na,na,na,0,0.98654294,42
L1_03,L1_English,7,critical_wanna,2,2,d,1,0.989764214,42
L1_03,L1_English,7,filler_ellipsis,2,2,Gapping-A,0,3.463557005,42
L1_03,L1_English,7,filler_null,na,na,null_subject,0,6.187566042,42
L1_03,L1_English,8,critical_wanna,1,1,a,1,1.604906797,42
L1_03,L1_English,8,filler_ellipsis,1,1,VPE-C,1,1.056837082,42
L1_03,L1_English,8,filler_null,na,na,null_object,0,1.574603081,42
L1_03,L1_English,9,critical_wanna,1,2,b,0,0.505957127,42
L1_03,L1_English,9,filler_ellipsis,2,1,Gapping-C,1,1.608584881,42
L1_03,L1_English,9,filler_null,na,na,no_null,1,0.839667082,42
L1_03,L1_English,10,critical_wanna,2,1,c,0,0.789157152,42
L1_03,L1_English,10,filler_ellipsis,1,2,VPE-A,1,1.574728966,42
L1_03,L1_English,10,filler_null,na,na,null_subject,0,0.622837067,42
L1_03,L1_English,11,critical_wanna,2,2,d,1,2.209897995,42
L1_03,L1_English,11,filler_ellipsis,2,2,Gapping-A,0,0.656358004,42
L1_03,L1_English,11,filler_null,na,na,null_object,0,0.856213093,42
L1_03,L1_English,12,critical_wanna,1,1,a,1,4.700572968,42
L1_03,L1_English,12,filler_ellipsis,1,1,VPE-C,1,0.55202198,42
L1_03,L1_English,12,filler_null,na,na,no_null,1,8.874475002,42
L1_03,L1_English,13,critical_wanna,1,2,b,0,3.961611032,42
L1_03,L1_English,13,filler_ellipsis,2,1,Gapping-C,1,0.655300856,42
L1_03,L1_English,13,filler_null,na,na,null_subject,0,0.689544916,42
L1_03,L1_English,14,critical_wanna,2,1,c,0,0.388291121,42
L1_03,L1_English,14,filler_ellipsis,1,2,VPE-A,1,2.978704214,42
L1_03,L1_English,14,filler_null,na,na,null_object,1,10.11489105,42
L1_03,L1_English,15,critical_wanna,2,2,d,1,0.689332962,42
